,road_id,road_name,common_road_name,cway,speed_limit,network_type
58648,1190600,Larmer Pl,Larmer Pl,S,110km/h or 50km/h built up areas,Local Road
58649,1270539,Brigid Rd,Brigid Rd,S,110km/h or 50km/h built up areas,Local Road
58653,1313662,Parkwood Av,Parkwood Av,S,110km/h or 50km/h built up areas,Local Road
58655,1140120,Eureka Rd,Eureka Rd,S,110km/h or 50km/h built up areas,Local Road
58661,2122011,Newbridge St,Newbridge St,S,110km/h or 50km/h built up areas,Local Road
58683,1010525,Lilika St,Lilika St,S,110km/h or 50km/h built up areas,Local Road
58685,1300179,Monmouth St,Monmouth St,S,110km/h or 50km/h built up areas,Local Road
58689,1070360,Glew St,Glew St,S,110km/h or 50km/h built up areas,Local Road
58694,1120151,Goongarrie St,Goongarrie St,S,110km/h or 50km/h built up areas,Local Road
58697,5050143,Cairncross St,Cairncross St,S,50km/h,Local Road
58712,1250429,Burwood Rd,Burwood Rd,S,110km/h or 50km/h built up areas,Local Road
58741,2040032,Carey St,Carey St,S,110km/h or 50km/h built up areas,Local Road
58749,1105287,Captiva App,Captiva App,S,110km/h or 50km/h built up areas,Local Road
58757,1312500,St Marks Dr,St Marks Dr,S,110km/h or 50km/h built up areas,Local Road
58801,1010407,Brant Rd,Brant Rd,S,110km/h or 50km/h built up areas,Local Road
58811,2120248,Shayne St,Shayne St,S,110km/h or 50km/h built up areas,Local Road
58859,1130121,Harley St,Harley St,S,110km/h or 50km/h built up areas,Local Road
58867,1011322,Ninth Rd,Ninth Rd,S,60km/h,Local Road
58873,6052030,Porter St,Porter St,L,50km/h,Local Road
58877,6051048,Robertson St,Robertson St,S,50km/h,Local Road
58883,1251652,Monyash Rd,Monyash Rd,S,110km/h or 50km/h built up areas,Local Road
58884,1050041,Sharman St,Sharman St,S,110km/h or 50km/h built up areas,Local Road
58885,1191315,Buckley L,Buckley L,S,110km/h or 50km/h built up areas,Local Road
58889,1310160,Leschenaultia St,Leschenaultia St,S,110km/h or 50km/h built up areas,Local Road
58902,1312071,Natica Pl,Natica Pl,S,110km/h or 50km/h built up areas,Local Road
58918,1091947,Driftwood Wy,Driftwood Wy,S,110km/h or 50km/h built up areas,Local Road
58920,1313308,Muirfield Wy,Muirfield Wy,S,110km/h or 50km/h built up areas,Local Road
58946,1040348,Gay St,Gay St,S,110km/h or 50km/h built up areas,Local Road
58958,1120779,Third Av,Third Av,S,60km/h,Local Road
58963,2120854,Kookaburra Dr,Kookaburra Dr,S,110km/h or 50km/h built up areas,Local Road
58964,2050986,Hannay L,Hannay L,S,40km/h,Local Road
58965,1250011,Nelson St,Nelson St,S,110km/h or 50km/h built up areas,Local Road
58967,1070070,Thorpe St,Thorpe St,S,110km/h or 50km/h built up areas,Local Road
58983,2010258,Magpie St,Magpie St,S,60km/h,Local Road
58988,1102993,Picton Tce,Picton Tce,S,110km/h or 50km/h built up areas,Local Road
59006,2170014,Charley Creek Rd,Charley Creek Rd,S,110km/h or 50km/h built up areas,Local Road
59007,3120066,The Springs Rd,The Springs Rd,S,110km/h or 50km/h built up areas,Local Road
59029,2121462,Sally Ann L,Sally Ann L,S,110km/h or 50km/h built up areas,Local Road
59071,1010067,Banyard Av,Banyard Av,S,110km/h or 50km/h built up areas,Local Road
59081,1240088,Cook St,Cook St,S,110km/h or 50km/h built up areas,Local Road
59090,1300065,Byron St,Byron St,S,110km/h or 50km/h built up areas,Local Road
59119,1106721,Fragola Rise,Fragola Rise,S,110km/h or 50km/h built up areas,Local Road
59120,1252571,Cervara Av,Cervara Av,S,110km/h or 50km/h built up areas,Local Road
59125,4010002,Waterhatch Rd,Waterhatch Rd,S,110km/h,Local Road
59133,1070790,Barlee Cr,Barlee Cr,S,110km/h or 50km/h built up areas,Local Road
59136,1180208,Price St,Price St,S,40km/h,Local Road
59141,1041870,Waterfoot Loop,Waterfoot Loop,S,110km/h or 50km/h built up areas,Local Road
59185,1180062,Bracks St,Bracks St,S,110km/h or 50km/h built up areas,Local Road
59186,4290007,Yealering South East Rd,Yealering South East Rd,S,110km/h or 50km/h built up areas,Local Road
59190,2121697,Bellerive Pass,Bellerive Pass,S,110km/h or 50km/h built up areas,Local Road
59214,6040210,Longbottom L,Longbottom L,S,50km/h,Local Road
59215,1290065,Camberwell St,Camberwell St,S,110km/h or 50km/h built up areas,Local Road
59218,1180223,Manning St,Manning St,S,40km/h,Local Road
59222,8040025,Tamala Rd,Tamala Rd,S,110km/h or 50km/h built up areas,Local Road
59223,1091334,Mockeridge Cct,Mockeridge Cct,S,110km/h or 50km/h built up areas,Local Road
59226,2120650,Steerforth Dr,Steerforth Dr,S,110km/h or 50km/h built up areas,Local Road
59234,1070497,Georgette Wy,Georgette Wy,S,110km/h or 50km/h built up areas,Local Road
59240,5051027,Company Rd,Company Rd,S,110km/h or 50km/h built up areas,Local Road
59258,1080143,Admiral Rd,Admiral Rd,S,110km/h or 50km/h built up areas,Local Road
59263,1130508,Robinson Av,Robinson Av,S,110km/h or 50km/h built up areas,Local Road
59293,1080596,Pingaring Ct,Pingaring Ct,S,110km/h or 50km/h built up areas,Local Road
59307,1080179,Doley Rd,Doley Rd,L,110km/h or 50km/h built up areas,Local Road
59308,1240123,Governors Av,Governors Av,S,110km/h or 50km/h built up areas,Local Road
59331,1210020,York Tce,York Tce,S,110km/h or 50km/h built up areas,Local Road
59332,1020142,Stirk St,Stirk St,S,110km/h or 50km/h built up areas,Local Road
59335,1170014,Alexandra Rd,Alexandra Rd,S,110km/h or 50km/h built up areas,Local Road
59338,1020387,Gordon St,Gordon St,S,110km/h or 50km/h built up areas,Local Road
59340,1030064,Briggs St,Briggs St,S,110km/h or 50km/h built up areas,Local Road
59347,1300212,Throssell St,Throssell St,S,40km/h,Local Road
59363,1050936,Wistow L,Wistow L,S,110km/h or 50km/h built up areas,Local Road
59393,1251007,Westborough St,Westborough St,S,110km/h or 50km/h built up areas,Local Road
59395,103Z047,O Kane Ct,O Kane Ct,S,70km/h,State Road
59403,2040223,White St,White St,S,110km/h or 50km/h built up areas,Local Road
59406,1180134,Ceasar St,Ceasar St,S,110km/h or 50km/h built up areas,Local Road
59409,1050153,Lionel St,Lionel St,S,110km/h or 50km/h built up areas,Local Road
59427,1180182,Simper Cr,Simper Cr,S,110km/h or 50km/h built up areas,Local Road
59445,1220263,Karella St (East),Karella St (East),S,110km/h or 50km/h built up areas,Local Road
59451,1091592,Guadalupe Dr,Guadalupe Dr,S,110km/h or 50km/h built up areas,Local Road
59460,1011058,Hobbs Dr,Hobbs Dr,S,110km/h or 50km/h built up areas,Local Road
59462,5050029,Hermitage St,Hermitage St,S,50km/h,Local Road
59477,1130354,Towton St,Towton St,S,110km/h or 50km/h built up areas,Local Road
59489,1040616,Kettering Wy,Kettering Wy,S,110km/h or 50km/h built up areas,Local Road
59490,8140322,Shadwick Dr,Shadwick Dr,S,50km/h,Local Road
59513,3160206,Darkan South Rd,Darkan South Rd,S,60km/h,Local Road
59518,2121301,Brindabella Cr,Brindabella Cr,S,110km/h or 50km/h built up areas,Local Road
59525,4030137,Bath St,Bath St,S,50km/h,Local Road
59530,3040047,Boyup Brook - Cranbrook Rd,Boyup Brook - Cranbrook Rd,S,110km/h or 50km/h built up areas,Local Road
59555,4260010,River Rd,River Rd,S,110km/h or 50km/h built up areas,Local Road
59562,1092186,Yelverton Dr,Yelverton Dr,S,110km/h or 50km/h built up areas,Local Road
59589,1020980,Bruce Rd,Bruce Rd,S,110km/h or 50km/h built up areas,Local Road
59603,6055056,Grants Patch Rd,Grants Patch Rd,S,110km/h or 50km/h built up areas,Local Road
59609,1050548,Ascot Pwy,Ascot Pwy,S,110km/h or 50km/h built up areas,Local Road
59612,2110233,Dawe St,Dawe St,S,110km/h or 50km/h built up areas,Local Road
59635,3120008,Spencer Rd,Spencer Rd,S,110km/h,Local Road
59641,2030316,James St,James St,S,110km/h or 50km/h built up areas,Local Road
59643,1120288,Elizabeth St,Elizabeth St,S,110km/h or 50km/h built up areas,Local Road
59654,1312052,Faversham Wy,Faversham Wy,S,110km/h or 50km/h built up areas,Local Road
59675,1290059,Ashburton St South,Ashburton St South,S,110km/h or 50km/h built up areas,Local Road
59697,1040738,Dene Ct,Dene Ct,S,110km/h or 50km/h built up areas,Local Road
59720,1105883,Laila Turn,Laila Turn,S,110km/h or 50km/h built up areas,Local Road
59725,1250123,Jackson Av,Jackson Av,S,110km/h or 50km/h built up areas,Local Road
59741,1252091,Snowberry Rtt,Snowberry Rtt,S,110km/h or 50km/h built up areas,Local Road
59784,1180423,Kwong Ally,Kwong Ally,S,110km/h or 50km/h built up areas,Local Road
59812,5070063,Wilbinga Rd,Wilbinga Rd,S,110km/h or 50km/h built up areas,Local Road
59825,1031912,Merino Ent,Merino Ent,S,110km/h or 50km/h built up areas,Local Road
59840,1120781,Woodhouse Rd,Woodhouse Rd,S,110km/h or 50km/h built up areas,Local Road
59846,2040098,Higgins St,Higgins St,S,110km/h or 50km/h built up areas,Local Road
59851,1120080,Anzac Tce,Anzac Tce,S,110km/h or 50km/h built up areas,Local Road
59852,1220103,Portland St,Portland St,S,110km/h or 50km/h built up areas,Local Road
59877,1120753,Swan View Tce,Swan View Tce,S,110km/h or 50km/h built up areas,Local Road
59886,8040012,Hamelin Pool Rd,Hamelin Pool Rd,S,110km/h,Local Road
