,road_id,road_name,common_road_name,cway,speed_limit,network_type
13444,1030159,Cross Rd,Cross Rd,S,110km/h or 50km/h built up areas,Local Road
13450,1251120,Islip Pl,Islip Pl,S,110km/h or 50km/h built up areas,Local Road
13451,1030844,Milgun Dr,Milgun Dr,S,110km/h or 50km/h built up areas,Local Road
13456,1031367,Allendale Ent,Allendale Ent,S,110km/h or 50km/h built up areas,Local Road
13459,1260049,Brandon St,Brandon St,S,110km/h or 50km/h built up areas,Local Road
13465,1030034,Coolbellup Av,Coolbellup Av,S,110km/h or 50km/h built up areas,Local Road
13468,2120560,Mississippi Dr,Mississippi Dr,S,110km/h or 50km/h built up areas,Local Road
13470,1220179,Lemnos St,Lemnos St,S,60km/h,Local Road
13477,4180204,Tarwonga Rd,Tarwonga Rd,S,110km/h,Local Road
13480,1050224,Preston Rd,Preston Rd,S,110km/h or 50km/h built up areas,Local Road
13482,1240223,Riverside Dr,Riverside Dr,S,60km/h,Local Road
13494,1020436,Dawson Av,Dawson Av,S,110km/h or 50km/h built up areas,Local Road
13496,5100014,Barberton East Rd,Barberton East Rd,S,110km/h or 50km/h built up areas,Local Road
13497,8120079,Forrest Av,Forrest Av,S,50km/h,Local Road
13498,1040008,Maddington Rd,Maddington Rd,S,60km/h,Local Road
13501,8140073,Brockman St,Brockman St,S,50km/h,Local Road
13503,4212225,Mitchell Av,Mitchell Av,S,60km/h,Local Road
13506,2040335,Westwood St,Westwood St,S,110km/h or 50km/h built up areas,Local Road
13508,1010972,Seminole Gdns,Seminole Gdns,S,110km/h or 50km/h built up areas,Local Road
13518,1091480,Edwards Ent,Edwards Ent,S,110km/h or 50km/h built up areas,Local Road
13521,2130069,Seven Day Rd,Seven Day Rd,S,110km/h or 50km/h built up areas,Local Road
13526,1041088,Towncentre Dr,Towncentre Dr,S,110km/h or 50km/h built up areas,Local Road
13533,1180170,Hickory St,Hickory St,S,40km/h,Local Road
13554,1032101,Bafile L,Bafile L,S,110km/h or 50km/h built up areas,Local Road
13565,4130018,Swamp Well Rd,Swamp Well Rd,S,110km/h or 50km/h built up areas,Local Road
13573,1270071,Rawson St,Rawson St,S,110km/h or 50km/h built up areas,Local Road
13575,3020122,Mercer Rd,Mercer Rd,S,80km/h,Local Road
13579,1180052,Leake St,Leake St,S,40km/h,Local Road
13582,1102256,Cowle St,Cowle St,S,110km/h or 50km/h built up areas,Local Road
13586,1021195,Eureka St,Eureka St,S,110km/h or 50km/h built up areas,Local Road
13587,1091463,Capital Rd,Capital Rd,S,110km/h or 50km/h built up areas,Local Road
13592,1120178,Mangini St,Mangini St,S,110km/h or 50km/h built up areas,Local Road
13601,1072212,Cossack St,Cossack St,S,110km/h or 50km/h built up areas,Local Road
13602,2040547,Allnut Ct,Allnut Ct,S,110km/h or 50km/h built up areas,Local Road
13609,1050168,Hope Valley Rd,Hope Valley Rd,S,80km/h,Local Road
13610,6040378,Simpson St,Simpson St,S,50km/h,Local Road
13611,1300145,Knutsford St,Knutsford St,S,110km/h or 50km/h built up areas,Local Road
13624,1062022,Seaborne St,Seaborne St,S,60km/h,Local Road
13630,1102832,Addison Gdns,Addison Gdns,S,110km/h or 50km/h built up areas,Local Road
13632,1260091,Mary St,Mary St,S,110km/h or 50km/h built up areas,Local Road
13636,4150103,Rowlands St,Rowlands St,S,50km/h,Local Road
13637,3100036,Carlecatup North Rd,Carlecatup North Rd,S,110km/h or 50km/h built up areas,Local Road
13647,6040480,Whitegum Av,Whitegum Av,S,50km/h,Local Road
13649,4050010,Springhill Rd,Springhill Rd,S,60km/h,Local Road
13657,1190030,Sleat Rd,Sleat Rd,S,110km/h or 50km/h built up areas,Local Road
13661,1120079,Grey St,Grey St,S,110km/h or 50km/h built up areas,Local Road
13662,2070088,Wallsend St,Wallsend St,S,110km/h or 50km/h built up areas,Local Road
13669,2040102,Prosser St,Prosser St,S,110km/h or 50km/h built up areas,Local Road
13681,2070218,Gastaldo Rd,Gastaldo Rd,S,100km/h,Local Road
13682,2070041,Wittenoom St,Wittenoom St,S,110km/h or 50km/h built up areas,Local Road
13683,1040181,Balfour St,Balfour St,S,110km/h or 50km/h built up areas,Local Road
13684,1180073,Attfield St,Attfield St,S,40km/h,Local Road
13705,1050619,Cockburn Rd,Cockburn Rd,S,70km/h,Local Road
13708,1010184,Valentine Rd,Valentine Rd,S,110km/h or 50km/h built up areas,Local Road
13711,1290015,Alday St,Alday St,S,110km/h or 50km/h built up areas,Local Road
13719,1091311,Hermitage Dr,Hermitage Dr,S,110km/h or 50km/h built up areas,Local Road
13731,5020098,Ridgetop Rmbl,Ridgetop Rmbl,S,70km/h,Local Road
13735,2060030,Peppermint Grove Tce,Peppermint Grove Tce,S,110km/h or 50km/h built up areas,Local Road
13741,2010099,Forrest Rd,Forrest Rd,S,110km/h or 50km/h built up areas,Local Road
13754,1160041,Griver St,Griver St,S,110km/h or 50km/h built up areas,Local Road
13761,1130023,Campbell St,Campbell St,S,110km/h or 50km/h built up areas,Local Road
13762,2130034,Perup Rd,Perup Rd,S,100km/h,Local Road
13766,1180370,Mews Rd,Mews Rd,S,40km/h,Local Road
13780,1060126,Woodbridge Dr,Woodbridge Dr,S,110km/h or 50km/h built up areas,Local Road
13792,3030003,Flat Rocks Rd,Flat Rocks Rd,S,110km/h or 50km/h built up areas,Local Road
13796,1150037,College Rd,College Rd,S,110km/h or 50km/h built up areas,Local Road
13806,2011001,Boodjidup Rd Rty,Boodjidup Rd Rty,S,60km/h,Local Road
13812,1060067,Bladon Wy,Bladon Wy,S,110km/h or 50km/h built up areas,Local Road
13815,5180163,Pioneer Rd,Pioneer Rd,S,60km/h,Local Road
13816,8130260,Gray St,Gray St,S,110km/h or 50km/h built up areas,Local Road
13823,1251037,Hancock St,Hancock St,S,110km/h or 50km/h built up areas,Local Road
13841,2120401,Dolphin Dr,Dolphin Dr,S,110km/h or 50km/h built up areas,Local Road
13849,1011106,Hastie Cl,Hastie Cl,S,110km/h or 50km/h built up areas,Local Road
13853,2130224,Nockolds St,Nockolds St,S,110km/h or 50km/h built up areas,Local Road
13858,1080483,D Vitale Loop,D Vitale Loop,S,110km/h or 50km/h built up areas,Local Road
13880,1310135,Dorchester Av,Dorchester Av,S,110km/h or 50km/h built up areas,Local Road
13883,1191645,Barry Marshall Pde,Barry Marshall Pde,S,40km/h,Local Road
13905,6052007,Dugan St,Dugan St,S,60km/h,Local Road
13910,2170001,Reserve St,Reserve St,S,110km/h or 50km/h built up areas,Local Road
13912,5070212,Dewar Rd,Dewar Rd,S,110km/h or 50km/h built up areas,Local Road
13914,6020047,Larkin St,Larkin St,S,50km/h,Local Road
13915,5020007,Chittering Valley Rd,Chittering Valley Rd,S,110km/h or 50km/h built up areas,Local Road
13936,1141088,Braibrise Rd,Braibrise Rd,S,110km/h or 50km/h built up areas,Local Road
13940,1300118,Cowle St,Cowle St,S,40km/h,Local Road
13946,304Z005,Redgum Pass Rd,Redgum Pass Rd,S,110km/h or 50km/h built up areas,Local Road
13950,5150105,Three Springs - Eneabba Rd,Three Springs - Eneabba Rd,S,50km/h,Local Road
13953,1071219,Harmony Pde,Harmony Pde,S,110km/h or 50km/h built up areas,Local Road
13956,8130126,Stanley St,Stanley St,S,50km/h,Local Road
13957,2040369,Dodson Rd,Dodson Rd,S,60km/h,Local Road
13971,2080120,Hamilton Rd,Hamilton Rd,S,110km/h or 50km/h built up areas,Local Road
13975,119Z033,Doig Ct,Doig Ct,S,110km/h or 50km/h built up areas,Local Road
13978,8130117,Kennedy St,Kennedy St,S,50km/h,Local Road
13979,1072444,Martindale Rd,Martindale Rd,S,110km/h or 50km/h built up areas,Local Road
13980,1110025,Reid St,Reid St,S,110km/h or 50km/h built up areas,Local Road
13985,1093322,Kalli St,Kalli St,S,110km/h or 50km/h built up areas,Local Road
13987,1140135,Yampi Wy,Yampi Wy,S,110km/h or 50km/h built up areas,Local Road
13990,1314512,Shelduck Cr,Shelduck Cr,S,110km/h or 50km/h built up areas,Local Road
14016,2120130,Ormsby Tce,Ormsby Tce,S,110km/h or 50km/h built up areas,Local Road
14032,1250876,Harold St,Harold St,S,110km/h or 50km/h built up areas,Local Road
14037,1040366,Dumbarton Rd,Dumbarton Rd,S,110km/h or 50km/h built up areas,Local Road
14042,2120003,Southern Estuary Rd,Southern Estuary Rd,S,80km/h,Local Road
14047,1280248,Gregory St,Gregory St,S,110km/h or 50km/h built up areas,Local Road
14055,1270537,Subiaco Square Rd,Subiaco Square Rd,S,110km/h or 50km/h built up areas,Local Road
14058,2150214,Corio Rd,Corio Rd,S,110km/h or 50km/h built up areas,Local Road
14065,1061009,Katharine St,Katharine St,S,60km/h,Local Road
14066,102Z015,Lockwood Rd,Lockwood Rd,S,110km/h or 50km/h built up areas,Local Road
14067,1120093,Raleigh Rd,Raleigh Rd,S,110km/h or 50km/h built up areas,Local Road
14069,1030020,Liddelow Rd,Liddelow Rd,S,80km/h,Local Road
14070,4211019,Coates Rd,Coates Rd,S,110km/h or 50km/h built up areas,Local Road
14076,1290071,Balmoral St,Balmoral St,S,110km/h or 50km/h built up areas,Local Road
14081,1250231,Ninth Av,Ninth Av,S,110km/h or 50km/h built up areas,Local Road
14089,2060331,Dalyellup Bvd,Dalyellup Bvd,S,110km/h or 50km/h built up areas,Local Road
14094,1103307,Penshurst St,Penshurst St,S,110km/h or 50km/h built up areas,Local Road
14098,1180273,Inverleith St,Inverleith St,S,40km/h,Local Road
14102,1250741,Chisholm Wy,Chisholm Wy,S,110km/h or 50km/h built up areas,Local Road
14110,1150119,Church L,Church L,S,110km/h or 50km/h built up areas,Local Road
14117,1060172,Bucknell Pl,Bucknell Pl,S,110km/h or 50km/h built up areas,Local Road
14127,1010027,Third Rd,Third Rd,S,40km/h,Local Road
14129,1072275,Burlington Dr,Burlington Dr,S,110km/h or 50km/h built up areas,Local Road
14133,1300307,Aria L,Aria L,S,40km/h,Local Road
14140,1140017,Kew St,Kew St,S,110km/h or 50km/h built up areas,Local Road
14156,1100539,Hickory Rd,Hickory Rd,S,110km/h or 50km/h built up areas,Local Road
14158,1311027,Goollelal Dr,Goollelal Dr,S,110km/h or 50km/h built up areas,Local Road
14162,1140381,Pattie St,Pattie St,S,110km/h or 50km/h built up areas,Local Road
14169,1102918,Wattle Mews,Wattle Mews,S,110km/h or 50km/h built up areas,Local Road
14176,1141027,Zanni St,Zanni St,S,110km/h or 50km/h built up areas,Local Road
14191,1280239,Nanson St,Nanson St,S,110km/h or 50km/h built up areas,Local Road
14193,2040175,Frankel St,Frankel St,S,110km/h or 50km/h built up areas,Local Road
14206,1070107,Folly Rd,Folly Rd,S,70km/h,Local Road
14208,H271,Hester Av on to Mitchell Fwy (Southbound),Hester Av on to Mitchell Fwy (Southbound),S,70km/h,Local Road
14215,1190022,Moreing Rd,Moreing Rd,S,110km/h or 50km/h built up areas,Local Road
14226,1250021,Herdsman Pde,Herdsman Pde,S,60km/h,Local Road
14254,1102502,Azelia St,Azelia St,S,110km/h or 50km/h built up areas,Local Road
14260,1251206,Charles Riley Rd,Charles Riley Rd,S,110km/h or 50km/h built up areas,Local Road
14262,1071015,Halliburton Av,Halliburton Av,S,110km/h or 50km/h built up areas,Local Road
14267,1250400,Hugo St,Hugo St,S,110km/h or 50km/h built up areas,Local Road
14277,1091484,Stratton Bvd,Stratton Bvd,S,110km/h or 50km/h built up areas,Local Road
14286,1041546,Bramdean Cr,Bramdean Cr,S,110km/h or 50km/h built up areas,Local Road
14297,001Z021,Kooljaman Access Rd (P),Kooljaman Access Rd (P),S,110km/h,State Road
14303,1040034,Eudoria St,Eudoria St,S,110km/h or 50km/h built up areas,Local Road
14330,1091409,Burton Rtt,Burton Rtt,S,110km/h or 50km/h built up areas,Local Road
14336,1100421,Graham Rd,Graham Rd,S,110km/h or 50km/h built up areas,Local Road
14337,6053022,Davis St,Davis St,S,50km/h,Local Road
14344,1190072,Tamar St,Tamar St,S,110km/h or 50km/h built up areas,Local Road
14348,4060166,Cunderdin - Wyalkatchem Rd,Cunderdin - Wyalkatchem Rd,S,110km/h,Local Road
14351,1050186,Mandogalup Rd,Mandogalup Rd,S,70km/h,Local Road
14357,H536,Vincent St on to Mitchell Fwy (Southbound),Vincent St on to Mitchell Fwy (Southbound),S,60km/h,State Road
14375,1150085,Belvue St,Belvue St,S,110km/h or 50km/h built up areas,Local Road
14384,1250048,Seventh Av,Seventh Av,S,110km/h or 50km/h built up areas,Local Road
14387,5190164,Coorow - Latham Rd,Coorow - Latham Rd,S,110km/h,Local Road
14396,1120764,First Av,First Av,S,110km/h or 50km/h built up areas,Local Road
14403,1105629,Beachside Pde,Beachside Pde,S,110km/h or 50km/h built up areas,Local Road
14405,1041757,Aroona Wy,Aroona Wy,S,110km/h or 50km/h built up areas,Local Road
14408,H793,Orrong Rd on to Leach Hwy (Westbound),Orrong Rd on to Leach Hwy (Westbound),S,80km/h,State Road
14416,1220074,Bostock Rd,Bostock Rd,S,110km/h or 50km/h built up areas,Local Road
14422,1150039,Airlie St,Airlie St,S,110km/h or 50km/h built up areas,Local Road
14435,1300292,Guildford Rd,Guildford Rd,L,60km/h,Local Road
14442,1020384,David St West,David St West,S,110km/h or 50km/h built up areas,Local Road
14449,2050178,Fairway Dr,Fairway Dr,S,60km/h,Local Road
14462,1102701,Errina Rd,Errina Rd,S,110km/h or 50km/h built up areas,Local Road
14468,1251653,Ledgar Rd,Ledgar Rd,S,110km/h or 50km/h built up areas,Local Road
14476,1130036,Knutsford Av,Knutsford Av,S,110km/h or 50km/h built up areas,Local Road
14505,1251943,Mumford Pl,Mumford Pl,S,110km/h or 50km/h built up areas,Local Road
14525,1063037,Evans St,Evans St,S,110km/h or 50km/h built up areas,Local Road
14544,1050202,Millar Rd,Millar Rd,S,80km/h,Local Road
14545,6080116,Agnew - Vivien Rd,Agnew - Vivien Rd,S,110km/h,Local Road
14553,2110146,Buffalo Rd,Buffalo Rd,S,110km/h or 50km/h built up areas,Local Road
14558,2050695,Marrinup Dr,Marrinup Dr,S,80km/h,Local Road
14560,8130534,Link Rd,Link Rd,S,60km/h,Local Road
14572,1140389,Wavel Av,Wavel Av,S,110km/h or 50km/h built up areas,Local Road
14576,1120258,Bromley St,Bromley St,S,110km/h or 50km/h built up areas,Local Road
14579,6051035,Burkett Dr,Burkett Dr,S,50km/h,Local Road
14584,1070538,Albatross Pl,Albatross Pl,S,110km/h or 50km/h built up areas,Local Road
14594,H827,Kwinana Fwy (Northbound) off to Lakes Rd,Kwinana Fwy (Northbound) off to Lakes Rd,S,70km/h,State Road
14624,1050739,Wem L,Wem L,S,110km/h or 50km/h built up areas,Local Road
14625,1050629,Henley Bvd,Henley Bvd,L,110km/h or 50km/h built up areas,Local Road
14628,1250333,Adair Pde,Adair Pde,S,110km/h or 50km/h built up areas,Local Road
14629,1041438,Daly Cir,Daly Cir,S,110km/h or 50km/h built up areas,Local Road
14631,1150056,Thomson Rd,Thomson Rd,S,110km/h or 50km/h built up areas,Local Road
14640,3021183,Hymus St,Hymus St,S,50km/h,Local Road
14652,1100205,Mary St,Mary St,S,110km/h or 50km/h built up areas,Local Road
14660,2080082,Cudliss St,Cudliss St,S,110km/h or 50km/h built up areas,Local Road
14669,1180035,Mouat St,Mouat St,S,40km/h,Local Road
14682,5140018,Wanarra Rd,Wanarra Rd,S,110km/h or 50km/h built up areas,Local Road
14698,4330101,Georgiana St,Georgiana St,S,110km/h or 50km/h built up areas,Local Road
14711,103Z006,Gateways Shopping Centre West Access,Gateways Shopping Centre West Access,S,60km/h,Local Road
14712,H503,Kwinana Fwy (Northbound) off to Mill Point Rd,Kwinana Fwy (Northbound) off to Mill Point Rd,S,110km/h or 50km/h built up areas,Local Road
14715,1140063,Malindi St,Malindi St,S,110km/h or 50km/h built up areas,Local Road
14718,1251017,Nola Av,Nola Av,S,110km/h or 50km/h built up areas,Local Road
14727,1100272,Elliot Rd,Elliot Rd,S,110km/h or 50km/h built up areas,Local Road
14729,1260255,Gillon St,Gillon St,S,110km/h or 50km/h built up areas,Local Road
14731,1311591,Caridean St,Caridean St,S,110km/h or 50km/h built up areas,Local Road
14737,6052076,Trevaskis St,Trevaskis St,S,50km/h,Local Road
14740,1140117,Holder St,Holder St,S,110km/h or 50km/h built up areas,Local Road
14742,2040027,Goldsmith St,Goldsmith St,S,110km/h or 50km/h built up areas,Local Road
14747,1060030,Weld Rd,Weld Rd,S,110km/h or 50km/h built up areas,Local Road
14756,5040051,Cockleshell Gully Rd,Cockleshell Gully Rd,S,110km/h or 50km/h built up areas,Local Road
14759,1091219,Scott St,Scott St,S,60km/h,Local Road
14761,1101661,Garden Park Dr,Garden Park Dr,S,70km/h,Local Road
14764,1290090,Temple St,Temple St,S,110km/h or 50km/h built up areas,Local Road
14766,1300053,Wavertree Pl,Wavertree Pl,S,110km/h or 50km/h built up areas,Local Road
14777,1011475,Nikon Rd,Nikon Rd,S,110km/h or 50km/h built up areas,Local Road
14780,1300072,Howlett St,Howlett St,S,110km/h or 50km/h built up areas,Local Road
14783,1310127,Ackworth Cr,Ackworth Cr,S,110km/h or 50km/h built up areas,Local Road
14789,1140475,Beatrice Av,Beatrice Av,S,110km/h or 50km/h built up areas,Local Road
14796,1140446,Sixth Av,Sixth Av,S,110km/h or 50km/h built up areas,Local Road
14797,1120022,Noranda Av,Noranda Av,S,110km/h or 50km/h built up areas,Local Road
14800,1040281,Ovens Rd,Ovens Rd,S,110km/h or 50km/h built up areas,Local Road
14801,1030150,Aumerle Wy,Aumerle Wy,S,110km/h or 50km/h built up areas,Local Road
14804,1220034,Clifton St,Clifton St,S,110km/h or 50km/h built up areas,Local Road
14807,5050072,Place Rd,Place Rd,L,60km/h,Local Road
14816,1071563,San Sebastian Bvd,San Sebastian Bvd,S,110km/h or 50km/h built up areas,Local Road
14824,1020023,Ridge Hill Rd,Ridge Hill Rd,S,60km/h,Local Road
14843,1120746,Watson Pl,Watson Pl,S,110km/h or 50km/h built up areas,Local Road
14852,H270,Mitchell Fwy (Northbound) off to Hester Av,Mitchell Fwy (Northbound) off to Hester Av,S,70km/h,Local Road
14858,H066,Airport Dr,Airport Dr,L,80km/h,State Road
14868,2121561,Trade Winds Rtt,Trade Winds Rtt,S,110km/h or 50km/h built up areas,Local Road
14873,2070043,Johnston St,Johnston St,S,110km/h or 50km/h built up areas,Local Road
14887,1150006,Ashton Av,Ashton Av,S,110km/h or 50km/h built up areas,Local Road
14888,1103658,Warradale Tce,Warradale Tce,S,110km/h or 50km/h built up areas,Local Road
14891,3021198,Champion St,Champion St,S,50km/h,Local Road
14904,1070031,Currie St,Currie St,S,110km/h or 50km/h built up areas,Local Road
14905,1130462,Kew St,Kew St,S,110km/h or 50km/h built up areas,Local Road
14915,8140067,Emma St,Emma St,S,50km/h,Local Road
14919,4010008,Top Beverley York Rd,Top Beverley York Rd,S,110km/h,Local Road
14923,2160109,Brockman Hwy,Brockman Hwy,S,90km/h,Local Road
14931,1140837,Hawkesbury Dr,Hawkesbury Dr,S,110km/h or 50km/h built up areas,Local Road
14939,1104217,Monash Cir,Monash Cir,S,110km/h or 50km/h built up areas,Local Road
14950,2060192,Frances Rd,Frances Rd,S,110km/h or 50km/h built up areas,Local Road
14956,2120176,Goomarl St,Goomarl St,S,110km/h or 50km/h built up areas,Local Road
14962,7050043,Carnarvon - Mullewa Rd,Carnarvon - Mullewa Rd,S,110km/h or 50km/h built up areas,Local Road
14972,1080504,Macleod Cl,Macleod Cl,S,110km/h or 50km/h built up areas,Local Road
14984,1104595,St Stephens Cr,St Stephens Cr,S,110km/h or 50km/h built up areas,Local Road
14987,0020062,Duncan Rd,Duncan Rd,S,110km/h or 50km/h built up areas,Local Road
15004,2040023,Mitchell Cr,Mitchell Cr,S,110km/h or 50km/h built up areas,Local Road
15022,5050125,Boyd St,Boyd St,S,50km/h,Local Road
15100,6110059,Frog Rock - Marvel Loch Rd,Frog Rock - Marvel Loch Rd,S,110km/h or 50km/h built up areas,Local Road
15109,1312001,Marybrook Rd,Marybrook Rd,S,110km/h or 50km/h built up areas,Local Road
15111,1090400,Gray Dr,Gray Dr,S,110km/h or 50km/h built up areas,Local Road
15122,1091144,Wellaton St,Wellaton St,S,110km/h or 50km/h built up areas,Local Road
15125,1253011,Huntriss Rd (Woodlands),Huntriss Rd (Woodlands),S,110km/h or 50km/h built up areas,Local Road
15126,1150005,Bay View Tce,Bay View Tce,S,10km/h,Local Road
15128,1100545,Whitfield Dr,Whitfield Dr,S,110km/h or 50km/h built up areas,Local Road
15129,1130011,Acton Av,Acton Av,S,110km/h or 50km/h built up areas,Local Road
15143,1020473,Kershaw Av,Kershaw Av,S,110km/h or 50km/h built up areas,Local Road
15146,1120744,East St,East St,S,110km/h or 50km/h built up areas,Local Road
15152,1130134,Rowe Av,Rowe Av,S,110km/h or 50km/h built up areas,Local Road
15153,1310390,Banks Av,Banks Av,S,110km/h or 50km/h built up areas,Local Road
15162,2070049,Atkinson St South,Atkinson St South,S,110km/h or 50km/h built up areas,Local Road
15164,2150536,Old Bunbury Rd,Old Bunbury Rd,S,110km/h or 50km/h built up areas,Local Road
15166,3021089,Broughton St,Broughton St,S,110km/h or 50km/h built up areas,Local Road
15167,1104229,Ollera Mndr,Ollera Mndr,S,110km/h or 50km/h built up areas,Local Road
15172,8130409,Dowding Wy,Dowding Wy,S,50km/h,Local Road
15177,1030536,Parkway Rd,Parkway Rd,S,110km/h or 50km/h built up areas,Local Road
15179,8060045,Carey St,Carey St,S,50km/h,Local Road
15182,213Z262,Beardmore Rd,Beardmore Rd,S,110km/h or 50km/h built up areas,Local Road
15185,6020079,Callitris Rd,Callitris Rd,S,50km/h,Local Road
15193,1120277,Cobden St,Cobden St,S,110km/h or 50km/h built up areas,Local Road
15207,1091130,The Avenue,The Avenue,S,110km/h or 50km/h built up areas,Local Road
15219,4180202,Congelin - Narrogin Rd,Congelin - Narrogin Rd,S,110km/h or 50km/h built up areas,Local Road
15234,1100208,Badgerup Rd,Badgerup Rd,S,80km/h,Local Road
15270,1092307,The Parkway,The Parkway,S,110km/h or 50km/h built up areas,Local Road
15279,1103282,Jefferson Dr,Jefferson Dr,S,110km/h or 50km/h built up areas,Local Road
15295,5020036,Muchea South Rd,Muchea South Rd,S,110km/h or 50km/h built up areas,Local Road
15300,4140144,Woolgar Av,Woolgar Av,L,50km/h,Local Road
15320,1010502,Tomah Rd,Tomah Rd,S,110km/h or 50km/h built up areas,Local Road
15338,109Z009,Valentine Rd (Federal),Valentine Rd (Federal),S,60km/h,State Road
15341,1300149,Woodville St,Woodville St,S,110km/h or 50km/h built up areas,Local Road
15385,1040416,Ballard Pl,Ballard Pl,S,110km/h or 50km/h built up areas,Local Road
15387,1140508,Ferndale Cr,Ferndale Cr,S,110km/h or 50km/h built up areas,Local Road
15391,1050010,Pace Rd,Pace Rd,S,110km/h or 50km/h built up areas,Local Road
15393,1314089,Macnaughton Cr,Macnaughton Cr,S,110km/h or 50km/h built up areas,Local Road
15402,1011379,Edison Cct,Edison Cct,S,110km/h or 50km/h built up areas,Local Road
15412,1130433,Mozart Mews,Mozart Mews,S,110km/h or 50km/h built up areas,Local Road
15419,1104694,Ashdale Bvd,Ashdale Bvd,L,110km/h or 50km/h built up areas,Local Road
15420,1312859,Blue Mountain Dr,Blue Mountain Dr,S,110km/h or 50km/h built up areas,Local Road
15426,1190847,Clemros Wy,Clemros Wy,S,110km/h or 50km/h built up areas,Local Road
15428,1190085,Cranford Av,Cranford Av,S,110km/h or 50km/h built up areas,Local Road
15436,2040076,Zoe St,Zoe St,S,110km/h or 50km/h built up areas,Local Road
15441,1020398,Range View Rd,Range View Rd,S,110km/h or 50km/h built up areas,Local Road
15458,5050028,Eastern Rd,Eastern Rd,S,50km/h,Local Road
15468,1250093,Swan St,Swan St,S,110km/h or 50km/h built up areas,Local Road
15490,4130005,Mandiga - Trayning Rd,Mandiga - Trayning Rd,S,110km/h or 50km/h built up areas,Local Road
15510,1091422,Cockman Crss,Cockman Crss,S,110km/h or 50km/h built up areas,Local Road
15549,1070024,Rae Rd,Rae Rd,S,110km/h or 50km/h built up areas,Local Road
15576,1251335,Bentwood Av,Bentwood Av,S,110km/h or 50km/h built up areas,Local Road
15591,1110127,Grey St,Grey St,S,110km/h or 50km/h built up areas,Local Road
15594,1220057,Florence Rd,Florence Rd,S,110km/h or 50km/h built up areas,Local Road
15601,1091706,Bronzewing Av,Bronzewing Av,S,110km/h or 50km/h built up areas,Local Road
15602,1140888,Corinthian Rd East,Corinthian Rd East,S,110km/h or 50km/h built up areas,Local Road
15608,1310992,Methuen Wy,Methuen Wy,S,110km/h or 50km/h built up areas,Local Road
15613,H720,Ennis Av (Northbound) off to Safety Bay Rd,Ennis Av (Northbound) off to Safety Bay Rd,S,70km/h,Local Road
15615,1110161,Lyneham Pl,Lyneham Pl,S,110km/h or 50km/h built up areas,Local Road
15619,1100260,Belgrade Rd,Belgrade Rd,S,110km/h or 50km/h built up areas,Local Road
15620,1250648,Balcombe Wy,Balcombe Wy,S,110km/h or 50km/h built up areas,Local Road
15633,2040226,Hislop St,Hislop St,S,110km/h or 50km/h built up areas,Local Road
15636,1092130,Shady Hills View,Shady Hills View,S,110km/h or 50km/h built up areas,Local Road
15642,1300241,Robinson Av,Robinson Av,S,40km/h,Local Road
15647,1130274,Bell St,Bell St,S,110km/h or 50km/h built up areas,Local Road
15648,1250809,Kurda Rd,Kurda Rd,S,110km/h or 50km/h built up areas,Local Road
15656,1011317,Verdant Cr,Verdant Cr,S,110km/h or 50km/h built up areas,Local Road
15667,1300079,Barnet Pl,Barnet Pl,S,110km/h or 50km/h built up areas,Local Road
15668,1260347,Cassey St,Cassey St,S,110km/h or 50km/h built up areas,Local Road
15669,1104991,Investigator Pde,Investigator Pde,S,110km/h or 50km/h built up areas,Local Road
15672,2120146,Stevenson St,Stevenson St,S,110km/h or 50km/h built up areas,Local Road
15688,1031003,Dean Rd,Dean Rd,S,110km/h or 50km/h built up areas,Local Road
15691,1310386,Mawson Cr,Mawson Cr,S,110km/h or 50km/h built up areas,Local Road
15692,3021022,Frederick St,Frederick St,S,50km/h,Local Road
15693,0030035,Clarendon St,Clarendon St,S,50km/h,Local Road
15699,1190285,Boon St,Boon St,S,110km/h or 50km/h built up areas,Local Road
15705,1251570,Siddeley Pl,Siddeley Pl,S,110km/h or 50km/h built up areas,Local Road
15709,1270053,Rankin Rd,Rankin Rd,S,110km/h or 50km/h built up areas,Local Road
15719,1100270,Nicholas Rd,Nicholas Rd,S,110km/h or 50km/h built up areas,Local Road
15723,7030048,Hill St,Hill St,S,50km/h,Local Road
15744,2120926,Gavarnie Wy,Gavarnie Wy,S,110km/h or 50km/h built up areas,Local Road
15746,5050022,Forrest St,Forrest St,S,50km/h,Local Road
15768,1311340,Forest Hill Dr,Forest Hill Dr,S,110km/h or 50km/h built up areas,Local Road
15769,3180232,Bremer Bay Rd,Bremer Bay Rd,S,110km/h or 50km/h built up areas,Local Road
15780,1141180,Waratah Bvd,Waratah Bvd,S,110km/h or 50km/h built up areas,Local Road
15790,1220007,Smyth Rd,Smyth Rd,S,110km/h or 50km/h built up areas,Local Road
15795,1140092,Tribute St West,Tribute St West,S,110km/h or 50km/h built up areas,Local Road
15796,H627,Cedric St on to Mitchell Fwy (Northbound),Cedric St on to Mitchell Fwy (Northbound),S,100km/h,State Road
15798,1250262,Clifton Cr,Clifton Cr,S,110km/h or 50km/h built up areas,Local Road
15805,125Z012,Learoyd St (P),Learoyd St (P),S,110km/h or 50km/h built up areas,Local Road
15815,1091850,Ponte Vecchio Bvd,Ponte Vecchio Bvd,S,110km/h or 50km/h built up areas,Local Road
15835,1090905,Terrace Rd,Terrace Rd,R,110km/h or 50km/h built up areas,Local Road
